"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;",,,";"RPi_Hat_Mounting_Hole";4;"";;;
2;"C1";"C_0805";1;"10nf";;;
3;"C2";"c_elec_4x5.7";1;"1uF";;;
4;"C3";"c_elec_6.3x5.7";1;"47uF";;;
5;"C4";"C_0805_HandSoldering";1;"33pF";;;
6;"C5";"C_0805";1;"36pF";;;
7;"C6";"C_0805";1;"33pF";;;
8;"D1";"LED-3MM";1;"LED";;;
9;"J3";"Pin_Header_Straight_2x20";1;"RPi_GPIO";;;
10;"L1,L4";"C_0805_HandSoldering";2;"56nH";;;
11;"L2,L3";"C_0805_HandSoldering";2;"110nH";;;
12;"P1";"Pin_Header_Straight_1x03";1;"3Sip100";;;
13;"P4";"SMA_Edge";1;"SMA";;;
14;"P5";"Pin_Header_Straight_1x02";1;"CONN_01X02";;;
15;"R1";"R_0805";1;"4k7";;;
16;"R2,R4,R5,R6,R8";"R_0805";5;"0";;;
17;"R3,R7";"R_0805";2;"oc";;;
18;"R9";"R_0805";1;"250";;;
19;"U1";"TO-220";1;"L4940V5  1.5A";;;
20;"P2";"TerminalBlock_Pheonix_MKDS1.5-4pol";1;"4Sip200";;;
21;"P3";"TerminalBlock_Pheonix_MKDS1.5-2pol";1;"2Sip200";;;
22;"Q1";"SOT-23";1;"BC817-40";;;
